ID;Alter;Tier1;Tier2;Tier3;Tier4;Tier5;Tier6;Tier7;Tier8;Tier9;LZ;Haustier;Veg;Geschlecht;Baer_img_0;Baer_int_0;Baer_val_0;Baer_fam_0;Elef_img_0;Elef_int_0;Elef_val_0;Elef_fam_0;Horn_img_0;Horn_int_0;Horn_val_0;Horn_fam_0;Hund_img_0;Hund_int_0;Hund_val_0;Hund_fam_0;Katz_img_0;Katz_int_0;Katz_val_0;Katz_fam_0;Loew_img_0;Loew_int_0;Loew_val_0;Loew_fam_0;Pony_img_0;Pony_int_0;Pony_val_0;Pony_fam_0;Scha_img_0;Scha_int_0;Scha_val_0;Scha_fam_0;Schl_img_0;Schl_int_0;Schl_val_0;Schl_fam_0;Skal_img_0;Skal_int_0;Skal_val_0;Skal_fam_0;Tige_img_0;Tige_int_0;Tige_val_0;Tige_fam_0;Wink_img_0;Wink_int_0;Wink_val_0;Wink_fam_0;Baer_F;Elef_F;Horn_F;Hund_F;Katz_F;Loew_F;Pony_F;Scha_F;Schl_F;Skal_F;Tige_F;Wink_F;Baer_img_1;Baer_int_1;Baer_val_1;Baer_est_1;Elef_img_1;Elef_int_1;Elef_val_1;Elef_est_1;Horn_img_1;Horn_int_1;Horn_val_1;Horn_est_1;Hund_img_1;Hund_int_1;Hund_val_1;Hund_est_1;Katz_img_1;Katz_int_1;Katz_val_1;Katz_est_1;Loew_img_1;Loew_int_1;Loew_val_1;Loew_est_1;Pony_img_1;Pony_int_1;Pony_val_1;Pony_est_1;Scha_img_1;Scha_int_1;Scha_val_1;Scha_est_1;Schl_img_1;Schl_int_1;Schl_val_1;Schl_est_1;Skal_img_1;Skal_int_1;Skal_val_1;Skal_est_1;Tige_img_1;Tige_int_1;Tige_val_1;Tige_est_1;Wink_img_1;Wink_int_1;Wink_val_1;Wink_est_1
a3hwwnkxmst3aal;29;Hund;Katze;;;;;;;;9;Nein;Ja;m;bear;80;77;32;elef;81;83;47;horn;61;62;62;hund;72;78;79;katz;59;86;79;loew;98;87;69;pony;41;56;68;scha;59;55;4;schl;64;93;53;skal;44;58;18;tige;78;42;66;wink;70;42;19;2;6;5;6;4;2;5;3;1;3;1;4;bear;76;67;2;elef;75;72;5;horn;68;67;4;hund;69;59;6;katz;62;66;3;loew;92;81;2;pony;55;50;5;scha;28;38;1;schl;61;76;1;skal;36;49;3;tige;81;37;2;wink;52;50;3
bnjuldgvcltjfr9;19;Kaninchen;Pferd;Hund;Katze;Ziege;;;;;4;Ja;Ja;w;bear;68;71;6;elef;68;72;6;horn;68;57;40;hund;32;97;90;katz;45;72;85;loew;100;38;1;pony;82;90;100;scha;65;31;30;schl;50;50;7;skal;12;58;26;tige;88;42;5;wink;62;33;0;5;5;3;2;6;4;3;4;1;2;1;6;bear;50;50;4;elef;36;73;6;horn;66;20;4;hund;39;88;3;katz;50;84;7;loew;75;24;5;pony;58;91;2;scha;63;41;6;schl;57;41;2;skal;19;50;1;tige;68;26;4;wink;84;0;10
br987j59m5avcg1;22;Hund;Katze;;;;;;;;7;Katze;Nein;w;bear;67;100;18;elef;77;99;68;horn;100;0;62;hund;84;84;85;katz;100;100;100;loew;100;100;100;pony;62;88;39;scha;85;0;24;schl;67;50;34;skal;64;92;0;tige;69;0;66;wink;100;0;50;2;3;1;1;6;5;4;3;4;6;2;5;bear;75;72;5;elef;85;77;6;horn;79;0;3;hund;74;93;3;katz;75;62;8;loew;93;100;6;pony;50;50;8;scha;84;19;4;schl;50;50;4;skal;50;67;4;tige;55;73;4;wink;100;1;4
bvp0pr92qhzxykw;20;Hund;Katze;Degu;;;;;;;3;Ja;Ja;w;bear;85;100;100;elef;58;100;58;horn;67;26;66;hund;64;86;95;katz;33;86;73;loew;77;50;57;pony;50;50;71;scha;100;0;76;schl;57;86;65;skal;16;57;38;tige;50;84;55;wink;29;21;45;3;1;3;5;2;4;5;6;2;1;4;6;bear;75;100;5;elef;65;100;1;horn;50;45;16;hund;66;100;6;katz;63;73;3;loew;44;50;6;pony;25;49;12;scha;78;0;11;schl;39;73;5;skal;6;54;2;tige;60;71;4;wink;56;37;15
cqzg1715uc6pqvk;19;Huhn;;;;;;;;;9;Nein;Nein;w;bear;64;81;2;elef;78;97;18;horn;60;96;83;hund;39;67;67;katz;55;60;67;loew;62;25;5;pony;53;69;26;scha;89;7;50;schl;60;49;5;skal;57;72;0;tige;95;50;1;wink;79;33;0;6;3;5;6;4;2;1;4;5;2;3;1;bear;53;87;7;elef;58;89;2;horn;65;94;5;hund;50;56;5;katz;60;74;7;loew;64;19;3;pony;58;59;1;scha;58;17;4;schl;62;30;4;skal;56;61;2;tige;73;50;3;wink;73;19;1
d06gmmp78r1tc0a;19;Hund;Katze;;;;;;;;7;Ja;Ja;w;bear;50;50;3;elef;64;93;22;horn;86;48;30;hund;61;80;100;katz;39;83;96;loew;95;33;3;pony;57;78;14;scha;72;10;4;schl;63;34;5;skal;42;60;11;tige;72;0;3;wink;80;17;50;5;2;1;4;3;6;3;6;5;4;2;1;bear;50;50;4;elef;66;86;4;horn;80;28;1;hund;50;88;4;katz;34;92;4;loew;79;25;6;pony;64;79;3;scha;90;11;7;schl;77;21;7;skal;35;74;3;tige;69;0;3;wink;82;10;2
d1zxv7tqgma770y;30;Hund;Katze;Fische;Garnelen;;;;;;9;Ja;Nein;m;bear;76;50;50;elef;50;62;50;horn;65;26;100;hund;56;50;100;katz;81;40;100;loew;63;100;61;pony;38;58;100;scha;42;25;50;schl;50;100;76;skal;66;85;100;tige;72;0;58;wink;50;81;91;6;2;5;5;4;1;1;2;3;3;6;4;bear;61;74;3;elef;50;57;3;horn;100;6;3;hund;29;50;2;katz;71;24;4;loew;95;100;2;pony;20;50;1;scha;60;27;2;schl;62;100;4;skal;74;100;3;tige;100;0;4;wink;50;79;3
dhvk7hmbjh0s88t;19;Katze;Pferd;;;;;;;;8;Ja;Nein;w;bear;27;55;7;elef;29;95;36;horn;78;0;2;hund;36;91;69;katz;41;81;97;loew;62;34;32;pony;27;96;98;scha;65;23;19;schl;60;30;20;skal;36;61;50;tige;67;33;26;wink;71;4;3;5;5;6;1;3;4;6;3;2;4;1;2;bear;36;62;4;elef;35;91;4;horn;78;3;6;hund;32;96;2;katz;43;100;4;loew;72;20;6;pony;29;98;6;scha;70;20;4;schl;61;13;5;skal;22;61;6;tige;73;33;2;wink;79;0;4
drtcdvwxnb98b9d;19;;;;;;;;;;7;Nein;Nein;w;bear;100;100;50;elef;80;92;50;horn;71;82;62;hund;9;81;50;katz;13;71;11;loew;93;83;50;pony;26;64;4;scha;24;59;1;schl;41;72;0;skal;99;98;50;tige;50;28;57;wink;20;50;10;6;2;1;6;4;3;2;5;3;5;4;1;bear;65;88;7;elef;84;78;3;horn;50;75;1;hund;14;71;9;katz;67;21;12;loew;40;74;5;pony;40;65;3;scha;31;39;9;schl;34;82;6;skal;97;100;4;tige;78;81;5;wink;59;50;2
e4hn059za12t27w;23;Katze;;;;;;;;;8;Ja;Ja;m;bear;73;76;74;elef;29;70;58;horn;92;10;100;hund;40;72;65;katz;62;65;100;loew;66;65;65;pony;67;86;25;scha;33;50;36;schl;52;50;31;skal;8;48;31;tige;72;10;62;wink;37;27;68;2;2;1;5;5;6;4;3;6;1;3;4;bear;35;85;2;elef;36;92;4;horn;91;5;1;hund;82;79;6;katz;75;75;8;loew;72;63;7;pony;61;90;5;scha;39;40;5;schl;42;43;5;skal;8;56;1;tige;75;17;4;wink;72;36;7
ea8rofnxyysbd37;23;Hund;Katze;Hase;Meerschwein;Hamster;Vogel;;;;7;Ja;Nein;w;bear;50;66;31;elef;50;72;39;horn;65;31;35;hund;66;100;100;katz;50;100;100;loew;66;21;21;pony;36;83;61;scha;33;37;21;schl;34;46;25;skal;31;59;24;tige;61;59;28;wink;66;30;31;1;5;3;3;4;1;6;4;2;2;6;5;bear;36;62;1;elef;50;70;6;horn;69;23;5;hund;83;100;4;katz;70;100;4;loew;64;19;1;pony;41;68;6;scha;30;29;4;schl;31;33;2;skal;35;58;3;tige;65;57;7;wink;67;1;6
eemgocn5jejh1c2;24;Katze;Hund;Kaninchen;;;;;;;7;Nein;Nein;w;bear;53;78;38;elef;60;87;37;horn;66;77;81;hund;59;93;100;katz;70;100;100;loew;79;50;30;pony;62;100;72;scha;84;50;75;schl;55;51;46;skal;36;65;41;tige;50;73;31;wink;73;61;100;4;1;4;2;1;3;5;6;5;2;3;6;bear;55;75;6;elef;59;68;1;horn;70;74;4;hund;55;83;3;katz;65;100;1;loew;59;50;6;pony;57;64;6;scha;56;53;6;schl;63;50;5;skal;52;50;2;tige;64;77;5;wink;60;61;7
