ID;Alter;Tier1;Tier2;Tier3;Tier4;Tier5;Tier6;Tier7;Tier8;Tier9;LZ;Haustier;Veg;Geschlecht;Baer_img_0;Baer_int_0;Baer_val_0;Baer_fam_0;Elef_img_0;Elef_int_0;Elef_val_0;Elef_fam_0;Horn_img_0;Horn_int_0;Horn_val_0;Horn_fam_0;Hund_img_0;Hund_int_0;Hund_val_0;Hund_fam_0;Katz_img_0;Katz_int_0;Katz_val_0;Katz_fam_0;Loew_img_0;Loew_int_0;Loew_val_0;Loew_fam_0;Pony_img_0;Pony_int_0;Pony_val_0;Pony_fam_0;Scha_img_0;Scha_int_0;Scha_val_0;Scha_fam_0;Schl_img_0;Schl_int_0;Schl_val_0;Schl_fam_0;Skal_img_0;Skal_int_0;Skal_val_0;Skal_fam_0;Tige_img_0;Tige_int_0;Tige_val_0;Tige_fam_0;Wink_img_0;Wink_int_0;Wink_val_0;Wink_fam_0;Baer_F;Elef_F;Horn_F;Hund_F;Katz_F;Loew_F;Pony_F;Scha_F;Schl_F;Skal_F;Tige_F;Wink_F;Baer_img_1;Baer_int_1;Baer_val_1;Baer_est_1;Elef_img_1;Elef_int_1;Elef_val_1;Elef_est_1;Horn_img_1;Horn_int_1;Horn_val_1;Horn_est_1;Hund_img_1;Hund_int_1;Hund_val_1;Hund_est_1;Katz_img_1;Katz_int_1;Katz_val_1;Katz_est_1;Loew_img_1;Loew_int_1;Loew_val_1;Loew_est_1;Pony_img_1;Pony_int_1;Pony_val_1;Pony_est_1;Scha_img_1;Scha_int_1;Scha_val_1;Scha_est_1;Schl_img_1;Schl_int_1;Schl_val_1;Schl_est_1;Skal_img_1;Skal_int_1;Skal_val_1;Skal_est_1;Tige_img_1;Tige_int_1;Tige_val_1;Tige_est_1;Wink_img_1;Wink_int_1;Wink_val_1;Wink_est_1
paxxj3g5n9g4k6n;33;Hamster;Hund;;;;;;;;9;Nein;Ja;w;bear;77;100;2;elef;83;100;1;horn;77;0;83;hund;81;100;90;katz;26;72;40;loew;75;61;13;pony;61;93;22;scha;100;0;36;schl;79;28;0;skal;75;81;0;tige;67;68;4;wink;100;0;73;4;2;6;3;2;1;5;5;3;4;6;1;bear;70;75;4;elef;63;64;3;horn;100;0;7;hund;88;100;5;katz;62;60;2;loew;70;72;3;pony;79;80;3;scha;100;0;4;schl;80;11;5;skal;60;95;2;tige;81;57;6;wink;100;0;2
pt093vr4zopmmsv;19;Katze;Pferd;Hund;;;;;;;8;Ja;Nein;w;bear;53;41;23;elef;67;100;34;horn;4;56;76;hund;26;78;86;katz;34;86;100;loew;94;74;36;pony;62;100;79;scha;0;48;56;schl;6;50;5;skal;0;56;71;tige;64;31;42;wink;100;0;49;5;1;3;6;5;6;4;4;1;2;2;3;bear;60;43;5;elef;45;76;2;horn;38;69;5;hund;62;90;7;katz;75;95;3;loew;77;58;6;pony;67;100;5;scha;32;54;5;schl;27;48;3;skal;24;62;4;tige;71;36;2;wink;66;15;3
srstlhnv5ko1wha;30;Hund;Katze;Hase;Meerschwein;Hamster;;;;;6;Ja;Ja;w;bear;78;100;88;elef;100;100;100;horn;71;25;77;hund;76;100;100;katz;75;100;100;loew;100;100;100;pony;86;100;100;scha;50;33;11;schl;50;63;50;skal;31;76;24;tige;78;29;100;wink;69;50;65;6;4;1;3;2;6;3;4;2;1;5;5;bear;100;100;3;elef;100;100;4;horn;79;26;2;hund;100;100;4;katz;70;100;2;loew;100;100;7;pony;100;100;3;scha;72;14;3;schl;61;63;3;skal;26;81;1;tige;100;64;8;wink;73;50;5
sth2q1ngqgeafcf;20;Katze;;;;;;;;;9;Ja;Ja;w;bear;86;86;64;elef;100;100;63;horn;77;46;57;hund;84;100;95;katz;79;100;96;loew;100;48;63;pony;64;77;79;scha;100;0;33;schl;100;56;71;skal;89;100;16;tige;94;73;68;wink;100;0;58;4;4;2;5;3;6;1;6;1;2;3;5;bear;89;87;7;elef;100;100;4;horn;79;60;3;hund;80;100;3;katz;82;100;2;loew;88;64;8;pony;86;77;1;scha;100;0;8;schl;83;55;2;skal;100;100;4;tige;100;75;3;wink;100;0;9
t7guwsxtmwzqyvc;19;Hund;Katze;Huhn;Hase;Meerschwein;Sittich;;;;9;Ja;Nein;w;bear;86;45;41;elef;71;92;62;horn;100;0;91;hund;78;87;100;katz;87;83;100;loew;92;35;40;pony;18;82;50;scha;92;1;24;schl;85;19;0;skal;38;69;64;tige;92;0;32;wink;100;0;31;5;1;3;1;2;6;4;3;6;5;2;4;bear;65;36;8;elef;55;91;5;horn;91;7;9;hund;82;84;2;katz;78;90;2;loew;88;22;10;pony;25;87;6;scha;83;8;4;schl;82;12;11;skal;34;84;7;tige;100;0;3;wink;100;0;8
ud4aoeyfvqg3z4w;19;Katze;Hase;Hund;Schnecke;;;;;;6;Ja;Ja;w;bear;68;68;9;elef;61;69;64;horn;74;43;67;hund;73;60;78;katz;89;99;100;loew;71;58;16;pony;33;75;73;scha;65;46;38;schl;81;36;6;skal;41;72;30;tige;60;68;19;wink;37;57;63;3;2;6;4;6;1;5;1;3;2;5;4;bear;61;83;3;elef;69;77;2;horn;72;35;6;hund;67;69;3;katz;76;96;3;loew;63;57;2;pony;66;73;4;scha;62;36;4;schl;78;15;5;skal;37;63;2;tige;66;82;2;wink;72;46;4
uh7wv92dwtutrdj;20;Katze;Hund;;;;;;;;4;Nein;Ja;w;bear;57;100;34;elef;41;72;36;horn;32;50;58;hund;70;100;100;katz;100;100;100;loew;72;62;50;pony;32;50;21;scha;63;50;30;schl;50;97;60;skal;11;50;20;tige;81;100;67;wink;27;96;65;4;3;4;6;2;6;3;5;1;2;5;1;bear;50;50;3;elef;50;50;2;horn;50;50;4;hund;50;50;7;katz;50;50;2;loew;50;50;8;pony;50;50;4;scha;50;50;5;schl;50;50;1;skal;50;50;2;tige;50;50;9;wink;50;50;1
ukalzzvsm5sh13y;19;Katze;Hamster;Meerschwein;;;;;;;7;Nein;Ja;w;bear;50;95;26;elef;46;92;26;horn;50;26;72;hund;32;100;79;katz;33;69;97;loew;79;15;12;pony;58;71;36;scha;93;9;43;schl;81;20;12;skal;34;74;17;tige;55;31;31;wink;99;0;55;5;4;3;4;3;5;6;1;6;1;2;2;bear;27;85;5;elef;57;90;5;horn;62;36;7;hund;33;100;5;katz;27;96;2;loew;75;13;10;pony;65;93;10;scha;68;61;3;schl;74;23;8;skal;24;78;1;tige;29;24;3;wink;76;6;6
v12g03h71n7c7mk;25;Hund;Katze;Fisch;;;;;;;9;Nein;Nein;m;bear;73;74;7;elef;75;80;3;horn;40;64;74;hund;100;100;100;katz;65;85;85;loew;86;77;6;pony;75;63;9;scha;41;62;27;schl;67;61;4;skal;62;82;82;tige;75;24;4;wink;67;72;64;1;2;3;4;5;1;6;3;5;2;6;4;bear;76;71;3;elef;80;69;7;horn;63;67;5;hund;98;99;6;katz;64;81;8;loew;94;66;1;pony;75;55;7;scha;58;55;7;schl;58;59;8;skal;62;70;6;tige;58;5;5;wink;62;53;8
wkn1a4btj681s7v;22;;;;;;;;;;9;Nein;Nein;w;bear;93;90;42;elef;71;71;73;horn;73;72;75;hund;70;73;100;katz;39;44;99;loew;97;57;61;pony;76;78;81;scha;56;25;23;schl;62;66;79;skal;90;91;40;tige;66;0;42;wink;97;2;13;3;4;4;1;6;2;3;2;1;5;5;6;bear;74;78;4;elef;64;69;2;horn;71;71;5;hund;74;76;4;katz;42;36;9;loew;90;81;3;pony;72;73;4;scha;66;37;3;schl;62;62;2;skal;91;85;10;tige;66;20;3;wink;72;13;7
wlbskgzkfgp78hr;19;Katze;Ratte;Hamster;Fisch;Hase;Hund;;;;3;Ja;Nein;m;bear;73;84;29;elef;40;50;49;horn;72;0;100;hund;100;100;100;katz;100;100;100;loew;65;61;58;pony;39;69;25;scha;68;0;63;schl;40;73;58;skal;50;64;92;tige;69;73;35;wink;100;0;100;4;6;3;6;1;2;4;3;1;2;5;5;bear;60;62;6;elef;54;82;6;horn;100;0;5;hund;100;100;6;katz;100;100;4;loew;57;57;3;pony;31;62;4;scha;64;19;3;schl;57;58;2;skal;32;66;3;tige;66;50;3;wink;100;0;6
20np220c0e4bpqp;20;;;;;;;;;;7;Nein;Nein;m;bear;13;63;69;elef;58;98;72;horn;91;12;0;hund;21;80;50;katz;37;35;41;loew;61;62;77;pony;63;50;50;scha;73;29;3;schl;88;24;4;skal;16;61;28;tige;81;63;60;wink;71;8;12;6;2;2;1;4;5;3;3;1;5;4;6;bear;25;72;6;elef;19;91;6;horn;88;22;2;hund;30;35;2;katz;17;70;4;loew;59;70;6;pony;32;66;4;scha;66;0;4;schl;77;27;3;skal;23;68;4;tige;73;50;3;wink;87;11;2
